Title,Authors,Subjects,Bookshelves,Read online (web)
The Bride of Huitzil—An Aztec Legend,"Allen, Hervey",PS ; Aztec mythology -- Poetry,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Poetry,https://www.gutenberg.org/ebooks/66131.html.images
"Warwick, Leamington & Kenilworth: A Sketch-Book","Austin, Robert",Kenilworth (England) -- Pictorial works ; NC ; Leamington (England) -- Pictorial works ; Warwick (England) -- Pictorial works ; DA,Browsing: Art & Photography; Browsing: History - European,https://www.gutenberg.org/ebooks/54809.html.images
Haapakallio: Idyllin-tapainen kuvaelma Hämeenlinnasta,"Hahnsson, Theodolinda",Fiction ; PH,Browsing: Literature; Browsing: Fiction,https://www.gutenberg.org/ebooks/47355.html.images
An American Girl in Munich: Impressions of a Music Student,"Daniels, Mabel W. (Mabel Wheeler)",Music -- Germany -- Munich -- History and criticism ; Munich (Germany) -- Description and travel ; Americans -- Germany -- Munich ; Music students ; ML,Browsing: History - General; Browsing: Music; Browsing: Travel & Geography,https://www.gutenberg.org/ebooks/46102.html.images
Sociology and Modern Social Problems,"Ellwood, Charles A. (Charles Abram)",Social problems ; Sociology ; HM,Browsing: Culture/Civilization/Society; Browsing: Sociology,https://www.gutenberg.org/ebooks/6568.html.images
"Missing Friends
Being the Adventures of a Danish Emigrant in Queensland (1871-1880)","Weitemeyer, Thorvald Peter Ludwig",Queensland -- Description and travel ; DU,Browsing: History - General; Browsing: Travel & Geography,https://www.gutenberg.org/ebooks/36399.html.images
The Vanishing Comrade: A Mystery Story for Girls,"Eliot, Ethel Cook",Teenage girls -- Juvenile fiction ; Estranged families -- Juvenile fiction ; Mystery fiction ; PZ ; Vacations -- Juvenile fiction,Browsing: Children & Young Adult Reading; Browsing: Crime/Mystery; Browsing: Fiction,https://www.gutenberg.org/ebooks/63455.html.images
The Literature of Ecstasy,"Mordell, Albert",PN ; Poetry ; Ecstasy,Browsing: Literature; Browsing: Poetry,https://www.gutenberg.org/ebooks/35279.html.images
Sandwich Glass: A Technical Book for Collectors,"Williams, Lenore Wheeler",Glassware -- Collectors and collecting ; NK ; Boston and Sandwich Glass Company,Browsing: Art & Photography; Browsing: Other,https://www.gutenberg.org/ebooks/52184.html.images
Ernest Maltravers — Complete,"Lytton, Edward Bulwer Lytton, Baron",English fiction -- 19th century ; PR,Browsing: Literature; Browsing: Fiction,https://www.gutenberg.org/ebooks/7649.html.images
"General Gordon
A Christian Hero","Churchill, Seton","Gordon, Charles George, 1833-1885 ; Generals -- Great Britain -- Biography ; DA",Browsing: Biographies; Browsing: History - British; Browsing: History - General,https://www.gutenberg.org/ebooks/28773.html.images
"In the Christmas Woods
Being the introductory essay of a series on observations of nature through the year","Knapp, Adeline",QH ; Natural history -- Outdoor books,Browsing: Nature/Gardening/Animals; Browsing: Science - General,https://www.gutenberg.org/ebooks/64149.html.images
"Envoyons d'l'avant nos gens!
Folklore du Canada",,"Folk songs, French -- Canada ; M ; Folk music -- Canada",FR Chansons; Browsing: Culture/Civilization/Society; Browsing: Music,
Per Amica Silentia Lunae,"Yeats, W. B. (William Butler)",PR ; Essays,Browsing: Literature,https://www.gutenberg.org/ebooks/33338.html.images
Ontario Normal School Manuals: Science of Education,Ontario. Department of Education,Education ; Educational psychology ; LB,Browsing: Psychiatry/Psychology; Browsing: Teaching & Education,https://www.gutenberg.org/ebooks/18451.html.images
The Trail of '98: A Northland Romance,"Service, Robert W. (Robert William)",Klondike River Valley (Yukon) -- Gold discoveries -- Fiction ; PS,Browsing: Literature; Browsing: Travel & Geography; Browsing: Fiction,https://www.gutenberg.org/ebooks/22063.html.images
The Gourmet's Guide to London,"Newnham-Davis, Lieut.-Col. (Nathaniel)",Restaurants -- England -- London -- Guidebooks ; DA,Browsing: Cooking & Drinking; Browsing: History - General; Browsing: Travel & Geography,https://www.gutenberg.org/ebooks/53304.html.images
Hamlet,"Shakespeare, William",Hamlet (Legendary character) -- Drama ; Princes -- Drama ; Denmark -- Drama ; Revenge -- Drama ; Fathers -- Death -- Drama ; Kings and rulers -- Succession -- Drama ; Tragedies ; Murder victims' families -- Drama ; PR,Best Books Ever Listings; Browsing: Literature; Browsing: Fiction,https://www.gutenberg.org/ebooks/1787.html.images
